customer_id,first_name,last_name,gender,date_of_birth,city,state,customer_since,risk_rating
42,Blessing,Adeyemi,Female,1980-01-15,Ibadan,Kwara,2013-09-04,High
43,Tunde,Adeyemi,Male,1980-02-02,Abuja,FCT,2013-03-01,Medium
44,Ngozi,Okeke,Female,1982-05-31,Abuja,Anambra,2018-10-10,Low
45,Tunde,Bello,Female,2011-11-25,Onitsha,Edo,2011-01-29,Low
46,Chinedu,Sadiq,Female,2011-10-24,Ibadan,Lagos,2019-12-22,Medium
47,Blessing,Okafor,Male,1986-05-02,Ilorin,Edo,2023-03-11,Medium
48,Zainab,Okafor,Male,2008-06-10,Enugu,Anambra,2025-01-13,Medium
49,Fatima,Olawale,Female,2013-04-10,Awka,FCT,2015-08-03,Low
50,Yusuf,Okafor,Male,2005-04-22,Benin,Anambra,2015-09-10,Low
51,Ibrahim,Okafor,Female,1983-07-16,Lagos,FCT,2024-06-29,Medium
52,Adebayo,Sadiq,Male,2007-07-20,Benin,Edo,2017-11-04,High
53,Zainab,Mohammed,Female,1993-10-27,Enugu,FCT,2019-06-24,Low
54,Blessing,Sadiq,Female,1983-11-29,Lagos,Anambra,2024-04-12,Low
55,Yusuf,Bello,Female,2000-11-08,Ibadan,Oyo,2023-12-31,Low
56,Zainab,Abubakar,Female,1981-07-09,Benin,Kwara,2024-02-06,Low
57,Blessing,Olawale,Male,1980-07-20,Lagos,Kwara,2021-08-27,Low
58,Sola,Okafor,Female,1990-10-10,Ilorin,Kwara,2013-08-22,Medium
59,Sola,Bello,Female,1978-09-13,Abuja,Kwara,2014-07-05,Low
60,Tunde,Olawale,Male,1992-09-22,Awka,Lagos,2017-04-09,Low
61,Zainab,Adeyemi,Male,1990-09-12,Lagos,Enugu,2016-07-13,Low
62,Sola,Okafor,Female,1998-01-31,Lagos,FCT,2024-05-24,High
63,Blessing,Okafor,Female,1997-08-31,Benin,Lagos,2017-10-08,Medium
64,Tunde,Sadiq,Male,1988-08-24,Ibadan,Kwara,2024-11-12,Low
65,Blessing,Okeke,Female,1991-03-13,Ibadan,Kwara,2024-07-04,Low
66,Tunde,Olawale,Female,2002-01-14,Onitsha,Edo,2022-02-19,Low
67,Zainab,Okafor,Female,2007-10-12,Abuja,Anambra,2019-01-19,Low
68,Yusuf,Mohammed,Female,1974-12-23,Awka,Kwara,2019-02-03,Low
69,Fatima,Olawale,Female,1991-11-21,Onitsha,FCT,2020-08-12,Medium
70,Ngozi,Abubakar,Female,1977-02-20,Onitsha,Edo,2019-08-28,Low
71,Yusuf,Mohammed,Female,2008-07-18,Lagos,Kwara,2021-05-21,High
72,Chinedu,Bello,Female,1991-07-30,Abuja,Kwara,2023-06-16,Low
73,Blessing,Mohammed,Female,2005-07-10,Benin,Lagos,2016-04-23,Low
74,Chinedu,Bello,Male,1988-05-21,Benin,FCT,2013-06-25,Low
75,Yusuf,Okeke,Male,1990-01-22,Benin,Oyo,2013-07-11,Low
76,Tunde,Okafor,Male,2009-03-15,Awka,Anambra,2023-07-16,Low
77,Ngozi,Mohammed,Female,1992-07-27,Abuja,Oyo,2010-12-27,Medium
78,Ngozi,Abubakar,Female,1999-08-26,Lagos,Enugu,2015-05-29,Low
79,Adebayo,Sadiq,Female,1999-07-17,Benin,Lagos,2018-01-06,Low
80,Ngozi,Okafor,Male,1975-07-10,Ibadan,Kwara,2019-06-27,High
81,Fatima,Olawale,Male,1982-05-14,Ibadan,Anambra,2016-02-05,High
82,Ngozi,Adeyemi,Female,1974-06-03,Ibadan,Enugu,2023-10-24,Medium
83,Yusuf,Bello,Male,2009-07-08,Ilorin,Enugu,2015-01-25,Medium
84,Adebayo,Olawale,Male,1986-01-02,Abuja,FCT,2016-12-21,Low
85,Yusuf,Okeke,Female,1991-09-02,Benin,Anambra,2017-06-17,Low
86,Yusuf,Bello,Female,1989-04-02,Lagos,Enugu,2020-01-23,Low
87,Ibrahim,Sadiq,Male,1976-02-20,Abuja,Lagos,2020-09-10,High
88,Adebayo,Bello,Female,1988-01-23,Ibadan,Kwara,2020-05-03,Low
89,Yusuf,Adeyemi,Male,1991-06-26,Enugu,Lagos,2022-01-05,Low
90,Ibrahim,Mohammed,Male,2008-07-15,Enugu,Edo,2022-10-28,Low
91,Ibrahim,Abubakar,Male,1988-02-16,Benin,Enugu,2012-03-28,Low
92,Adebayo,Mohammed,Female,2008-07-29,Abuja,FCT,2015-11-17,Low
93,Chinedu,Okafor,Male,1985-03-10,Benin,Oyo,2010-06-30,Low
94,Tunde,Adeyemi,Male,2007-09-12,Awka,Kwara,2022-03-28,Low
95,Fatima,Abubakar,Female,1988-01-05,Enugu,Kwara,2022-12-03,Low
96,Tunde,Adeyemi,Female,1992-10-23,Enugu,Lagos,2023-07-30,Low
97,Ngozi,Okafor,Male,1977-03-12,Abuja,Lagos,2011-03-18,Low
98,Fatima,Bello,Female,1988-09-09,Onitsha,Lagos,2016-04-11,Medium
99,Ngozi,Okeke,Female,2007-05-12,Ilorin,Enugu,2014-07-21,Low
100,Yusuf,Okafor,Male,2006-10-14,Ilorin,Kwara,2012-05-20,Medium
101,Blessing,Okafor,Female,1995-05-05,Ibadan,Lagos,2017-11-14,Low
102,Adebayo,Abubakar,Male,1992-06-09,Benin,Edo,2016-11-04,Low
103,Fatima,Sadiq,Female,2000-05-07,Lagos,Anambra,2018-10-18,Medium
104,Fatima,Mohammed,Female,1997-10-01,Onitsha,Enugu,2014-07-15,Low
105,Yusuf,Bello,Male,1979-08-28,Benin,Enugu,2015-03-12,Low
106,Chinedu,Okafor,Male,2009-01-18,Awka,Anambra,2012-12-25,High
107,Ibrahim,Okeke,Female,2014-02-22,Benin,Anambra,2011-04-28,Low
108,Yusuf,Olawale,Female,2009-03-12,Onitsha,Enugu,2010-11-05,Low
109,Sola,Bello,Female,1988-07-27,Benin,Kwara,2011-08-16,High
110,Ibrahim,Sadiq,Male,2008-09-02,Lagos,Lagos,2020-07-10,Low
111,Adebayo,Adeyemi,Female,2012-06-17,Lagos,Edo,2012-10-15,Medium
112,Ibrahim,Okafor,Male,1976-04-03,Awka,FCT,2022-04-21,Low
113,Chinedu,Okeke,Female,2011-03-31,Ilorin,Lagos,2022-07-01,Low
114,Ibrahim,Bello,Female,2005-10-25,Onitsha,Kwara,2022-11-26,Low
115,Adebayo,Okeke,Female,1999-01-19,Benin,Anambra,2021-06-24,Low
116,Chinedu,Okeke,Female,1999-03-15,Enugu,Kwara,2018-12-06,Medium
117,Tunde,Mohammed,Female,2004-08-05,Ibadan,Lagos,2021-09-30,High
118,Fatima,Abubakar,Male,1989-09-30,Abuja,Edo,2013-09-19,Low
119,Fatima,Adeyemi,Male,1993-06-29,Ilorin,Kwara,2010-03-24,Medium
120,Ngozi,Sadiq,Male,2013-06-22,Ibadan,FCT,2010-09-08,Low
121,Tunde,Mohammed,Female,1986-06-06,Enugu,Kwara,2012-12-29,Low
122,Tunde,Bello,Male,2005-05-07,Ilorin,Oyo,2024-10-25,High
123,Ibrahim,Okafor,Male,1985-08-29,Onitsha,Kwara,2016-07-15,Low
124,Fatima,Sadiq,Female,1999-01-21,Awka,Lagos,2013-11-09,Low
125,Adebayo,Okafor,Female,1985-03-07,Lagos,Oyo,2014-01-21,Low
126,Zainab,Olawale,Male,1985-09-05,Awka,Anambra,2018-10-17,Low
127,Zainab,Okeke,Male,1984-02-19,Enugu,Lagos,2013-01-03,Low
128,Chinedu,Olawale,Male,1983-11-13,Abuja,Enugu,2021-06-27,Medium
129,Fatima,Abubakar,Male,1989-06-22,Benin,FCT,2020-03-17,High
130,Fatima,Okeke,Male,2006-07-25,Awka,Kwara,2024-06-30,Low
131,Zainab,Adeyemi,Male,2009-08-22,Enugu,Kwara,2020-08-28,Low
132,Fatima,Sadiq,Male,1993-12-30,Lagos,Lagos,2012-01-03,Low
133,Ibrahim,Okafor,Female,2005-01-20,Ilorin,Kwara,2010-11-19,Low
134,Sola,Mohammed,Male,2008-11-09,Ibadan,Kwara,2015-08-20,High
135,Blessing,Abubakar,Female,1990-11-29,Enugu,Anambra,2018-05-19,High
136,Tunde,Adeyemi,Female,1991-07-04,Enugu,Kwara,2020-02-18,Medium
137,Ngozi,Okafor,Female,1976-04-01,Onitsha,Kwara,2019-04-08,Medium
138,Chinedu,Sadiq,Male,1980-10-03,Abuja,Anambra,2013-06-15,Medium
139,Sola,Bello,Male,1976-08-03,Ilorin,Enugu,2012-03-16,Low
140,Zainab,Abubakar,Female,1991-03-15,Enugu,Kwara,2023-09-13,Low
141,Tunde,Olawale,Male,1981-05-27,Enugu,Enugu,2014-03-14,Low
142,Fatima,Olawale,Male,2005-06-22,Ibadan,Anambra,2015-08-04,Medium
143,Ngozi,Mohammed,Female,1999-12-23,Benin,FCT,2021-07-27,Low
144,Fatima,Okafor,Male,2004-08-16,Lagos,Kwara,2020-06-21,Low
145,Adebayo,Okafor,Female,1988-02-27,Awka,Lagos,2019-06-19,Low
146,Adebayo,Okafor,Female,1978-03-09,Onitsha,Oyo,2020-01-13,Medium
147,Ngozi,Abubakar,Female,1991-05-24,Ilorin,FCT,2018-06-24,High
148,Ngozi,Sadiq,Female,1996-08-14,Ibadan,Kwara,2022-10-04,Low
149,Zainab,Bello,Male,1989-08-31,Ibadan,Lagos,2013-09-15,Medium
150,Ngozi,Olawale,Female,1998-10-05,Awka,Oyo,2010-05-29,Low
151,Ibrahim,Adeyemi,Male,1990-10-07,Ilorin,Anambra,2014-11-19,Medium
152,Fatima,Okeke,Male,2010-10-05,Ilorin,Kwara,2016-03-25,Low
153,Sola,Abubakar,Male,1993-05-16,Onitsha,Edo,2011-09-07,Low
154,Yusuf,Abubakar,Male,2001-02-22,Lagos,Enugu,2014-12-30,Low
155,Ngozi,Sadiq,Female,1991-06-24,Ilorin,Enugu,2010-08-28,Low
156,Chinedu,Olawale,Female,1998-08-18,Onitsha,Anambra,2012-07-01,High
157,Adebayo,Mohammed,Female,1980-10-24,Enugu,FCT,2018-04-02,High
158,Ibrahim,Bello,Female,2006-02-27,Awka,Enugu,2024-10-23,Low
159,Tunde,Sadiq,Female,2009-01-15,Ilorin,Oyo,2024-06-09,Low
160,Yusuf,Adeyemi,Male,1999-08-26,Benin,Enugu,2020-04-11,Medium
161,Sola,Olawale,Female,2003-04-12,Benin,Edo,2010-06-08,Low
162,Yusuf,Sadiq,Male,1993-08-17,Lagos,Edo,2022-10-03,Low
163,Ngozi,Olawale,Male,1977-11-15,Ibadan,Oyo,2022-07-08,Low
164,Zainab,Olawale,Female,1990-02-13,Enugu,Enugu,2011-07-02,High
165,Adebayo,Mohammed,Male,1980-12-15,Ilorin,Anambra,2024-01-20,Medium
166,Adebayo,Abubakar,Male,2004-10-23,Awka,Anambra,2017-12-10,Medium
167,Tunde,Bello,Female,1977-05-31,Ilorin,Enugu,2016-03-15,Low
168,Zainab,Abubakar,Female,1993-01-30,Onitsha,Edo,2012-01-25,Medium
169,Fatima,Okeke,Female,1985-05-10,Abuja,FCT,2012-01-05,Low
170,Blessing,Bello,Male,2010-04-17,Benin,Lagos,2020-05-19,Low
171,Ibrahim,Olawale,Female,1991-03-21,Lagos,Edo,2017-09-29,Medium
172,Adebayo,Sadiq,Female,1981-12-01,Ibadan,Enugu,2021-10-27,High
173,Chinedu,Adeyemi,Male,1984-03-10,Abuja,Edo,2016-05-24,High
174,Adebayo,Mohammed,Female,1978-12-14,Awka,Edo,2015-04-09,Medium
175,Yusuf,Bello,Male,2004-06-07,Ilorin,Kwara,2011-06-08,Medium
176,Adebayo,Okeke,Male,1995-11-21,Lagos,Lagos,2014-02-19,Medium
177,Adebayo,Olawale,Female,1999-08-24,Enugu,Edo,2017-07-09,High
178,Blessing,Adeyemi,Male,2011-12-08,Onitsha,Enugu,2023-01-29,Low
179,Blessing,Bello,Male,1994-11-04,Onitsha,Edo,2011-09-10,Low
180,Sola,Abubakar,Female,1983-02-07,Ilorin,Oyo,2012-05-10,Medium
181,Fatima,Abubakar,Female,1988-11-15,Benin,Kwara,2024-09-30,High
182,Chinedu,Bello,Female,2012-10-09,Ilorin,FCT,2022-04-16,Low
183,Adebayo,Bello,Male,1989-12-22,Ilorin,Lagos,2024-04-29,Medium
184,Adebayo,Bello,Male,1988-11-06,Enugu,Lagos,2013-07-31,Low
185,Ibrahim,Adeyemi,Female,1995-10-09,Ilorin,Kwara,2017-12-10,High
186,Blessing,Abubakar,Female,1992-12-02,Lagos,FCT,2017-09-22,Medium
187,Chinedu,Sadiq,Female,2014-02-25,Enugu,Edo,2020-08-01,Low
188,Tunde,Okeke,Male,2005-01-20,Enugu,Enugu,2019-01-28,Medium
189,Sola,Okeke,Female,1977-01-28,Benin,FCT,2010-02-04,Medium
190,Fatima,Mohammed,Male,2012-04-12,Abuja,Enugu,2015-10-02,High
191,Zainab,Olawale,Female,1992-05-25,Awka,Lagos,2013-10-11,High
192,Fatima,Okafor,Male,2010-09-13,Enugu,Edo,2021-08-16,Low
193,Yusuf,Sadiq,Male,1984-06-05,Abuja,Enugu,2011-03-13,Low
194,Adebayo,Abubakar,Female,1986-08-11,Lagos,Lagos,2022-06-12,Medium
195,Sola,Olawale,Male,1981-08-24,Awka,Anambra,2017-01-16,High
196,Yusuf,Mohammed,Male,1979-04-17,Enugu,Kwara,2021-12-11,Low
197,Chinedu,Olawale,Female,1987-02-02,Ibadan,Edo,2020-11-23,Low
198,Zainab,Bello,Female,1979-07-23,Abuja,FCT,2010-11-05,Low
199,Blessing,Okafor,Male,1999-01-06,Lagos,Oyo,2021-12-09,Low
200,Sola,Abubakar,Male,2007-06-12,Lagos,Kwara,2011-05-07,Medium
201,Sola,Okafor,Male,2006-08-31,Lagos,Enugu,2024-01-24,Low
202,Adebayo,Sadiq,Female,1975-01-14,Onitsha,Anambra,2024-07-14,Low
203,Ngozi,Okafor,Male,2007-01-16,Awka,Kwara,2011-06-06,High
204,Sola,Olawale,Male,1984-05-05,Benin,Lagos,2024-06-21,Low
205,Ibrahim,Okafor,Female,2005-05-05,Ilorin,Kwara,2015-03-30,Medium
206,Zainab,Okafor,Female,1989-03-14,Ibadan,Edo,2018-01-04,Low
207,Zainab,Okeke,Female,1977-12-05,Awka,Enugu,2013-09-30,Medium
208,Ibrahim,Abubakar,Female,1989-01-24,Awka,Kwara,2019-01-04,Low
209,Tunde,Abubakar,Female,1997-12-05,Benin,Edo,2015-11-12,Low
210,Ibrahim,Olawale,Male,1975-05-26,Benin,Kwara,2018-11-04,Low
211,Ibrahim,Adeyemi,Male,1997-07-23,Enugu,Enugu,2021-04-22,High
212,Zainab,Okafor,Male,2010-12-05,Onitsha,Oyo,2017-10-19,Low
213,Fatima,Okafor,Female,1993-10-28,Abuja,Anambra,2019-10-18,Low
214,Zainab,Bello,Female,1979-06-24,Ibadan,Kwara,2017-01-15,Medium
215,Ngozi,Abubakar,Female,1980-08-24,Lagos,Kwara,2010-08-21,Low
216,Adebayo,Okafor,Male,2005-06-15,Awka,Oyo,2014-06-11,High
217,Yusuf,Abubakar,Female,1995-10-05,Ibadan,FCT,2017-04-06,Low
218,Fatima,Okafor,Female,2013-08-24,Abuja,Kwara,2013-05-01,Low
219,Blessing,Okeke,Female,1974-11-04,Ilorin,Edo,2019-09-10,Low
220,Yusuf,Olawale,Male,1983-10-04,Ibadan,Enugu,2011-06-06,Low
221,Adebayo,Abubakar,Female,1998-02-23,Onitsha,Edo,2022-12-16,Low
222,Ngozi,Sadiq,Female,1998-06-19,Onitsha,Enugu,2017-10-05,Low
223,Ngozi,Olawale,Male,1998-05-10,Lagos,Kwara,2018-05-25,Low
224,Blessing,Bello,Female,1975-06-23,Onitsha,FCT,2018-10-05,High
225,Fatima,Olawale,Female,1981-09-21,Awka,Enugu,2010-12-07,Medium
226,Tunde,Okafor,Female,2008-10-24,Ilorin,Edo,2017-07-07,Medium
227,Ibrahim,Bello,Male,1995-12-25,Benin,Edo,2020-10-21,Low
228,Fatima,Olawale,Female,1990-06-06,Abuja,Kwara,2020-10-13,Medium
229,Tunde,Mohammed,Female,1986-05-10,Lagos,Kwara,2010-02-28,Low
230,Ngozi,Bello,Male,2014-07-13,Benin,Kwara,2018-11-28,High
231,Zainab,Mohammed,Male,1977-11-29,Ilorin,Anambra,2022-10-26,Low
232,Adebayo,Sadiq,Female,1980-04-05,Enugu,Enugu,2010-08-31,Medium
233,Blessing,Olawale,Male,2006-03-02,Enugu,Lagos,2010-08-16,Medium
234,Adebayo,Abubakar,Female,1984-01-21,Abuja,Anambra,2022-08-19,Medium
235,Chinedu,Abubakar,Male,1989-05-24,Lagos,FCT,2017-02-15,High
236,Chinedu,Adeyemi,Female,2007-07-26,Onitsha,Anambra,2024-05-31,Low
237,Fatima,Okafor,Female,2001-08-21,Awka,Edo,2010-05-07,Medium
238,Ngozi,Mohammed,Female,2005-11-03,Abuja,Anambra,2022-02-17,Low
239,Ngozi,Bello,Male,2003-03-16,Onitsha,Oyo,2023-04-16,Low
240,Ibrahim,Adeyemi,Male,1977-01-24,Ilorin,FCT,2013-12-02,Low
241,Ibrahim,Adeyemi,Female,2014-09-06,Lagos,FCT,2015-12-09,Medium
242,Ibrahim,Okeke,Female,1978-09-01,Enugu,FCT,2020-11-03,Low
243,Zainab,Mohammed,Female,2010-01-27,Enugu,Anambra,2017-07-11,Low
244,Yusuf,Bello,Female,1988-07-31,Ibadan,FCT,2013-08-01,Low
245,Sola,Adeyemi,Male,1979-02-15,Lagos,Enugu,2015-10-27,Medium
246,Yusuf,Okeke,Male,2013-01-28,Ilorin,Oyo,2014-05-13,High
247,Adebayo,Adeyemi,Female,1980-03-03,Ilorin,Kwara,2021-03-03,Low
248,Yusuf,Okafor,Male,2003-03-29,Ibadan,Anambra,2014-02-02,Low
249,Zainab,Sadiq,Male,1974-08-16,Onitsha,Kwara,2015-07-24,Low
250,Adebayo,Mohammed,Male,1994-07-17,Ilorin,Kwara,2018-11-27,Low
251,Yusuf,Okeke,Female,1985-08-13,Onitsha,Anambra,2021-12-09,High
252,Zainab,Sadiq,Female,1997-01-05,Onitsha,Enugu,2023-01-30,Low
253,Sola,Bello,Male,1981-02-17,Lagos,Anambra,2010-09-04,Low
254,Yusuf,Okafor,Male,1984-10-03,Onitsha,FCT,2022-05-17,Medium
255,Zainab,Okeke,Female,1997-06-15,Enugu,Oyo,2012-12-18,Low
256,Ibrahim,Bello,Female,1990-06-16,Abuja,Anambra,2023-06-30,Medium
257,Ngozi,Adeyemi,Female,1998-07-28,Enugu,Kwara,2014-01-21,Medium
258,Ibrahim,Abubakar,Male,2013-03-26,Onitsha,Anambra,2010-01-11,Low
259,Ngozi,Olawale,Male,2006-07-15,Benin,Oyo,2015-06-30,Low
260,Blessing,Bello,Male,2012-11-18,Enugu,Lagos,2024-01-12,Low
261,Blessing,Sadiq,Female,2005-10-02,Lagos,Enugu,2019-06-04,Low
262,Blessing,Okafor,Female,2012-07-17,Onitsha,Kwara,2019-08-31,Low
263,Sola,Okafor,Female,2004-04-16,Benin,Lagos,2016-04-11,High
264,Ibrahim,Bello,Female,1980-06-27,Ilorin,Lagos,2012-08-02,Medium
265,Ngozi,Adeyemi,Female,1992-04-26,Ibadan,Edo,2011-03-11,Low
266,Zainab,Olawale,Male,2003-06-11,Ibadan,Oyo,2019-07-24,High
267,Adebayo,Mohammed,Male,2014-08-17,Awka,Enugu,2016-04-08,Low
268,Zainab,Sadiq,Male,2005-09-20,Ibadan,Anambra,2019-02-26,Medium
269,Adebayo,Bello,Female,1992-06-21,Ibadan,Lagos,2017-01-10,Low
270,Chinedu,Bello,Male,2010-11-24,Ilorin,Edo,2014-10-26,Low
271,Zainab,Abubakar,Female,1979-09-15,Abuja,FCT,2024-02-20,Medium
272,Yusuf,Okafor,Male,1975-02-14,Abuja,Anambra,2020-08-11,Low
273,Yusuf,Sadiq,Male,1998-11-06,Ilorin,Enugu,2016-02-07,Low
274,Fatima,Olawale,Female,1997-10-16,Ibadan,Kwara,2010-09-25,Low
275,Ibrahim,Okafor,Male,2013-04-18,Lagos,Anambra,2016-01-08,Low
276,Adebayo,Bello,Male,1997-01-20,Enugu,Oyo,2020-02-05,Medium
277,Adebayo,Okafor,Male,2007-01-19,Onitsha,Edo,2022-04-05,Medium
278,Ibrahim,Okafor,Male,1995-12-10,Enugu,Oyo,2011-05-30,Low
279,Sola,Okeke,Male,2005-12-10,Benin,Kwara,2014-10-10,Low
280,Fatima,Okafor,Male,1983-03-16,Abuja,Kwara,2012-07-18,Low
281,Sola,Adeyemi,Male,1985-06-10,Benin,Kwara,2020-10-06,Medium
282,Sola,Okafor,Female,2004-11-26,Ilorin,Edo,2013-12-19,Low
283,Sola,Mohammed,Male,1992-11-01,Benin,Edo,2020-08-23,Medium
284,Ibrahim,Adeyemi,Female,2008-07-29,Lagos,Oyo,2010-07-18,High
285,Sola,Sadiq,Male,2006-06-04,Ibadan,Enugu,2015-08-18,Low
286,Yusuf,Okafor,Female,1981-09-30,Ilorin,Edo,2014-11-16,Low
287,Blessing,Olawale,Female,2002-11-22,Benin,Enugu,2023-06-02,Medium
288,Chinedu,Adeyemi,Male,1986-06-26,Abuja,Edo,2022-02-09,Low
289,Adebayo,Adeyemi,Female,1980-02-19,Onitsha,Anambra,2014-09-10,Low
290,Adebayo,Bello,Female,1983-04-29,Lagos,Lagos,2018-06-20,Medium
291,Chinedu,Sadiq,Male,1981-06-18,Lagos,Lagos,2019-08-06,Medium
292,Ibrahim,Okafor,Female,1997-03-24,Abuja,FCT,2024-02-03,Low
293,Zainab,Abubakar,Male,2003-09-10,Lagos,Oyo,2017-01-11,Low
294,Ibrahim,Olawale,Female,2008-01-09,Enugu,Kwara,2012-07-18,Low
295,Adebayo,Bello,Female,1999-06-29,Onitsha,Enugu,2022-08-31,High
296,Adebayo,Sadiq,Female,1981-02-15,Abuja,Edo,2024-08-27,High
297,Chinedu,Mohammed,Female,1999-09-12,Enugu,Anambra,2013-11-20,Medium
298,Sola,Adeyemi,Male,1989-01-22,Ilorin,Enugu,2015-06-29,Medium
299,Ibrahim,Olawale,Male,2006-07-30,Awka,Oyo,2013-08-23,Low
300,Ngozi,Mohammed,Male,1996-06-22,Onitsha,FCT,2017-01-01,Low
301,Chinedu,Okafor,Male,2003-02-05,Ibadan,Enugu,2011-02-28,Low
302,Yusuf,Abubakar,Male,1993-08-19,Ilorin,Lagos,2010-05-30,Medium
303,Adebayo,Okeke,Female,1984-10-15,Enugu,Anambra,2019-06-26,Low
304,Chinedu,Okeke,Male,1981-08-29,Ibadan,Lagos,2014-02-22,Medium
305,Ibrahim,Sadiq,Female,1980-10-27,Ibadan,Anambra,2017-06-08,Medium
306,Adebayo,Abubakar,Male,1977-12-18,Enugu,Kwara,2018-03-13,High
307,Zainab,Olawale,Male,2005-08-21,Enugu,Anambra,2024-02-23,Medium
308,Chinedu,Bello,Male,2012-04-18,Onitsha,Edo,2010-05-19,Low
309,Fatima,Olawale,Male,2000-07-12,Abuja,Kwara,2020-03-14,Low
310,Adebayo,Abubakar,Female,1983-05-19,Awka,Oyo,2015-02-14,Low
311,Ibrahim,Mohammed,Male,2009-04-21,Onitsha,Lagos,2015-08-24,Low
312,Blessing,Adeyemi,Female,2001-04-30,Enugu,Anambra,2015-06-19,Low
313,Ngozi,Okeke,Female,1980-11-04,Ibadan,Anambra,2017-09-19,Low
314,Tunde,Sadiq,Male,2005-04-13,Ibadan,FCT,2015-03-29,High
315,Sola,Okafor,Female,2007-04-17,Ilorin,Lagos,2021-09-20,Low
316,Tunde,Olawale,Female,1977-10-08,Awka,Oyo,2024-05-01,Medium
317,Ibrahim,Okeke,Male,1988-05-31,Awka,Kwara,2012-01-13,Low
318,Yusuf,Bello,Female,1987-11-13,Benin,Oyo,2021-06-13,High
319,Yusuf,Sadiq,Male,2011-02-28,Benin,FCT,2021-08-04,Low
320,Blessing,Okafor,Male,1976-01-15,Ibadan,Oyo,2019-09-08,Low
321,Sola,Olawale,Female,2003-09-06,Awka,Kwara,2010-03-18,Low
322,Fatima,Bello,Female,1991-10-19,Ilorin,Lagos,2015-06-15,Medium
323,Blessing,Okafor,Female,2013-07-26,Abuja,Enugu,2024-05-23,Low
